Name: Angy Huet,  Email: ahuet7w@dailymotion.com, Campany: Centimia
Name: Fee Rubinowitch,  Email: frubinowitch7p@mapy.cz, Campany: null
Name: Dewain Garfoot,  Email: dgarfoot9x@hc360.com, Campany: Digitube
Name: Zabrina Grangier,  Email: zgrangieraf@nytimes.com, Campany: Thoughtworks
Name: Eleanor Di Bartolommeo,  Email: edibartolommeobq@so-net.ne.jp, Campany: Meetz
Name: Pancho Ochterlony,  Email: pochterlonyej@npr.org, Campany: null
Name: Renate Coleshill,  Email: rcoleshillfb@barnesandnoble.com, Campany: null
Name: Krysta Sproston,  Email: ksprostonfh@yellowbook.com, Campany: Zoombox
Name: Kevan Guidotti,  Email: kguidottigc@wikipedia.org, Campany: Trunyx
Name: Tiertza Maasz,  Email: tmaaszhf@printfriendly.com, Campany: Zoombeat
Name: Kinnie Durtnal,  Email: kdurtnali9@examiner.com, Campany: Realbuzz
Name: Merna Shailer,  Email: mshailerkv@gnu.org, Campany: null
Name: Sidoney Wewell,  Email: swewellle@europa.eu, Campany: Rhycero
Name: Billy Waterstone,  Email: bwaterstoneox@un.org, Campany: Realbridge
Name: Marris Sitch,  Email: msitchql@arizona.edu, Campany: Eare
Name: Ariella Wewell,  Email: awewell6r@posterous.com, Campany: Tazz
